Customer_ID,risk_score,risk_bucket,expected_loss,flag_manual_review,flag_credit_freeze
1,0.05315905981764875,Low Risk,11694.993159882724,False,False
2,0.04810614220011753,Low Risk,16837.149770041135,False,False
3,0.0646625918437295,Low Risk,20045.403471556143,False,False
4,0.5356797344486104,Medium Risk,10713.594688972207,False,False
5,0.016714332832725685,Low Risk,8357.166416362843,False,False
6,0.14406059554761347,Low Risk,25930.907198570425,False,False
7,0.26087993693132583,Low Risk,13043.996846566291,False,False
8,0.09394025213535184,Low Risk,11272.830256242221,False,False
9,0.049054988565131116,Low Risk,7848.798170420979,False,False
10,0.05010461511437903,Low Risk,3507.3230580065324,False,False
11,0.13607909111494376,Low Risk,19051.072756092126,False,False
12,0.12094203373017254,Low Risk,29026.088095241408,False,False
13,0.09344755709232347,Low Risk,6541.328996462643,False,False
14,0.6309191626086045,High Risk,227130.8985390976,False,False
15,0.47935417369551553,Medium Risk,76696.66779128248,False,False
16,0.028828493432652296,Low Risk,6053.983620856982,False,False
17,0.0535546837329265,Low Risk,10710.936746585301,False,False
18,0.04386921762991754,Low Risk,12722.073112676086,False,False
19,0.08602344901113679,Low Risk,25807.034703341036,False,False
20,0.031122905639727524,Low Risk,14005.307537877386,False,False
21,0.07262822995052035,Low Risk,14525.645990104069,False,False
22,0.22161923350068446,Low Risk,11080.961675034223,False,False
23,0.2064656570949401,Low Risk,33034.50513519042,False,False
24,0.15808185201097083,Low Risk,20550.640761426206,False,False
25,0.2804369008395154,Low Risk,33652.42810074185,False,False
26,0.2785751044352927,Low Risk,22286.008354823418,False,False
27,0.13714582169607792,Low Risk,64458.53619715662,False,False
28,0.06616416295327979,Low Risk,6616.416295327978,False,False
29,0.14722471924139552,Low Risk,25028.202271037237,False,False
30,0.04121951402334512,Low Risk,9480.488225369378,False,False
31,0.07395159217248332,Low Risk,17748.382121395996,False,False
32,0.09047650663947623,Low Risk,9952.415730342385,False,False
33,0.3689064053736439,Medium Risk,51646.896752310146,False,False
34,0.1279829347745977,Low Risk,20477.269563935635,False,False
35,0.08793752064052486,Low Risk,23743.13057294171,False,False
36,0.2267597074630841,Low Risk,34013.956119462615,False,False
37,0.06615855494371445,Low Risk,17862.8098348029,False,False
38,0.12362244751389927,Low Risk,6181.122375694963,False,False
39,0.2745136156110989,Low Risk,65883.26774666373,False,False
40,0.09589819098214704,Low Risk,47949.095491073516,False,False
41,0.737565399314407,High Risk,14751.30798628814,False,False
42,0.035898212764479645,Low Risk,3948.803404092761,False,False
43,0.17095850403551477,Low Risk,8547.925201775739,False,False
44,0.06188911893393153,Low Risk,9283.36784008973,False,False
45,0.10761338963678649,Low Risk,19370.41013462157,False,False
46,0.43775797940566946,Medium Risk,70041.27670490711,False,False
47,0.24410885589998638,Low Risk,14646.531353999182,False,False
48,0.5661722116567639,Medium Risk,39632.054815973475,False,False
49,0.04662524248174883,Low Risk,6061.281522627348,False,False
50,0.11768644172243883,Low Risk,23537.288344487766,False,False
51,0.054431277274936136,Low Risk,8709.004363989781,False,False
52,0.1752950932134108,Low Risk,42070.82237121859,False,False
53,0.08726484546895265,Low Risk,13089.726820342898,False,False
54,0.06888473240346005,Low Risk,24798.50366524562,False,False
55,0.17147482291833638,Low Risk,3429.4964583667274,False,False
56,0.08948092207815038,Low Risk,21475.42129875609,False,False
57,0.13432751367324436,Low Risk,4029.8254101973307,False,False
58,0.20270254268722604,Low Risk,26351.330549339385,False,False
59,0.09633581437415902,Low Risk,6743.507006191131,False,False
60,0.8367495527105089,High Risk,33469.98210842036,True,False
61,0.15969742548339677,Low Risk,25551.588077343484,False,False
62,0.4187635731385128,Medium Risk,20938.17865692564,False,False
63,0.26057203587580474,Low Risk,13028.601793790238,False,False
64,0.21032344069206219,Low Risk,31548.51610380933,False,False
65,0.040939241326973325,Low Risk,20469.62066348666,False,False
66,0.03695033704897617,Low Risk,6281.557298325949,False,False
67,0.08186091601401298,Low Risk,18009.401523082855,False,False
68,0.11616382064553182,Low Risk,5808.191032276592,False,False
69,0.08088703742392397,Low Risk,8088.7037423923975,False,False
70,0.05858567699928302,Low Risk,18747.416639770567,False,False
71,0.17379162605620135,Low Risk,5213.74878168604,False,False
72,0.03576711584705348,Low Risk,14306.846338821391,False,False
73,0.0919853352278943,Low Risk,33114.720682041945,False,False
74,0.04666814547143391,Low Risk,7000.221820715086,False,False
75,0.2915622567300917,Low Risk,81637.43188442566,False,False
76,0.5806825176466558,Medium Risk,11613.650352933117,False,False
77,0.062400552214509096,Low Risk,3120.027610725455,False,False
78,0.2131844389516764,Low Risk,6395.533168550292,False,False
79,0.05081148390227635,Low Risk,10670.411619478033,False,False
80,0.08922446616425429,Low Risk,11599.180601353059,False,False
81,0.05269777319659617,Low Risk,9485.599175387311,False,False
82,0.8257485918542437,High Risk,189922.17612647603,True,False
83,0.3295857709987476,Medium Risk,16479.28854993738,False,False
84,0.17745645235169116,Low Risk,8872.822617584558,False,False
85,0.18480954942616168,Low Risk,3696.1909885232335,False,False
86,0.7775314535356994,High Risk,69977.83081821294,False,False
87,0.0972972048089959,Low Risk,35026.99373123852,False,False
88,0.13916882037707715,Low Risk,26442.075871644658,False,False
89,0.4221391681568511,Medium Risk,8442.783363137021,False,False
90,0.08519600767856873,Low Risk,19595.08176607081,False,False
91,0.1095380663639854,Low Risk,5476.90331819927,False,False
92,0.0430494415955314,Low Risk,12053.843646748794,False,False
93,0.08400535197324767,Low Risk,9240.588717057244,False,False
94,0.8295556271785988,High Risk,41477.78135892994,True,False
95,0.6089968270900814,High Risk,48719.74616720651,False,False
96,0.13356121883894934,Low Risk,40068.3656516848,False,False
97,0.18175484456061752,Low Risk,38168.51735772968,False,False
98,0.03541383702925884,Low Risk,8853.459257314711,False,False
99,0.06671887298375109,Low Risk,10007.830947562665,False,False
100,0.07015891940255761,Low Risk,2806.3567761023046,False,False
101,0.18487088240621674,Low Risk,9243.544120310837,False,False
102,0.0920751038334922,Low Risk,18415.02076669844,False,False
103,0.1968713568271101,Low Risk,55123.979911590824,False,False
104,0.37335852703466027,Medium Risk,63470.94959589225,False,False
105,0.19700032772901185,Low Risk,51220.08520954308,False,False
106,0.025635501925759085,Low Risk,4358.035327379044,False,False
107,0.09706501877049496,Low Risk,10677.152064754446,False,False
108,0.028761565063079836,Low Risk,10641.77907333954,False,False
109,0.09591555673571393,Low Risk,4795.777836785696,False,False
110,0.11328354834606037,Low Risk,56641.774173030186,False,False
111,0.08701732870681654,Low Risk,20884.158889635968,False,False
